Date,Rating
2020-09-21,2101
2020-09-22,2219
2020-12-02,2203
2020-12-12,2159
2020-12-13,2184
2020-12-15,2196
2020-12-17,2203
2020-12-28,2195
2021-01-01,2229
2021-01-02,2236
2021-01-05,2245
2021-01-13,2252
2021-01-14,2252
2021-01-26,2254
2021-01-28,2253
2021-01-29,2241
2021-01-31,2241
2021-02-05,2238
2021-02-06,2234
2021-02-09,2220
2021-02-15,2217
2021-02-17,2209
2021-02-18,2216
2021-02-20,2222
2021-02-21,2241
2021-02-22,2288
2021-02-23,2304
2021-02-24,2314
2021-02-25,2279
2021-02-28,2278
2021-03-03,2263
2021-03-04,2261
2021-03-05,2250
2021-03-06,2260
2021-03-07,2257
2021-03-08,2270
2021-03-30,2271
2021-03-31,2275
2021-04-01,2259
2021-04-07,2259
2021-04-10,2241
2021-04-16,2231
2021-05-01,2234
2021-05-04,2235
2021-05-10,2235
2021-05-12,2271
2021-05-13,2272
2021-05-14,2300
2021-05-15,2324
2021-05-16,2314
2021-05-17,2307
2021-05-19,2308
2021-05-27,2308
2021-05-30,2299
2021-05-31,2300
2021-06-02,2301
2021-06-26,2329
2021-06-27,2359
2021-06-28,2365
2021-07-01,2373
2021-07-02,2401
2021-07-04,2407
2021-07-05,2402
2021-07-17,2378
2021-07-26,2384
2021-07-27,2385
2021-07-29,2384
2021-07-30,2389
2021-07-31,2394
2021-08-04,2405
2021-08-07,2398
2021-08-08,2397
2021-08-09,2389
2021-08-10,2383
2021-08-11,2400
2021-08-19,2402
2021-08-20,2403
2021-08-22,2418
2021-08-24,2409
2021-08-25,2408
2021-08-26,2423
2021-08-27,2412
2021-08-28,2423
2021-08-29,2419
2021-08-30,2414
2021-08-31,2433
2021-09-01,2438
2021-09-02,2466
2021-09-03,2477
2021-09-04,2499
2021-09-05,2510
2021-09-06,2515
2021-09-07,2513
2021-09-08,2507
2021-09-09,2509
2021-09-10,2494
2021-09-11,2502
2021-09-14,2496
2021-09-23,2492
2021-11-06,2487
2021-11-13,2505
2021-11-26,2496
2021-11-28,2483
2021-11-29,2482
2021-12-02,2488
2021-12-03,2503
2021-12-04,2504
2021-12-07,2511
2021-12-08,2504
2021-12-18,2502
2021-12-23,2497
2021-12-24,2491
2021-12-27,2469
2021-12-28,2459
2021-12-30,2477
2022-01-01,2483
2022-01-03,2470
2022-01-05,2453
2022-01-06,2435
2022-01-07,2456
2022-01-08,2445
2022-01-10,2459
2022-01-13,2455
2022-01-16,2464
2022-01-17,2491
2022-01-18,2475
2022-01-19,2475
2022-01-20,2459
2022-01-21,2464
2022-01-22,2429
2022-01-23,2438
2022-01-24,2397
2022-01-25,2402
2022-01-27,2409
2022-02-01,2415
2022-02-04,2358
2022-02-05,2354
2022-02-10,2361
2022-02-11,2362
2022-02-12,2356
2022-02-13,2354
2022-02-14,2350
2022-02-15,2347
2022-02-16,2353
2022-02-17,2376
2022-02-18,2403
2022-02-20,2362
2022-02-22,2357
2022-02-23,2377
2022-02-27,2379
2022-05-20,2379
2022-05-24,2369
2022-05-29,2359
2022-05-31,2350
2022-06-19,2372
2022-06-20,2382
2022-06-23,2408
2022-06-30,2402
2022-07-01,2398
2022-07-02,2389
2022-07-03,2396
2022-07-04,2390
2022-07-09,2399
2022-07-11,2414
2022-07-12,2408
2022-07-18,2401
2022-07-20,2356
2022-07-22,2347
2022-07-24,2363
2022-08-03,2363
2022-11-24,2357
2022-11-25,2349
2022-11-29,2336
2022-11-30,2359
2022-12-01,2361
2022-12-09,2371
2022-12-12,2383
2022-12-14,2377
2022-12-16,2368
2022-12-18,2382
2022-12-19,2390
2022-12-20,2376
2022-12-21,2365
2022-12-22,2340
2022-12-23,2325
2022-12-24,2321
2022-12-25,2326
2022-12-28,2322
2022-12-29,2316
2023-01-02,2324
2023-01-03,2342
2023-01-04,2335
2023-01-05,2337
2023-01-06,2338
2023-01-08,2336
2023-01-10,2349
2023-01-11,2356
2023-01-12,2366
2023-01-13,2362
2023-01-16,2358
2023-01-18,2365
2023-01-21,2371
2023-01-22,2377
2023-01-26,2372
2023-01-27,2368
2023-01-28,2375
2023-02-02,2371
2023-02-03,2377
2023-02-04,2370
