Date,Rating
2020-08-24,2063
2020-09-21,2228
2020-09-22,2243
2020-09-23,2215
2020-09-26,2223
2020-10-06,2227
2020-10-15,2248
2020-10-16,2255
2020-10-17,2262
2020-10-19,2258
2020-10-21,2270
2020-11-24,2278
2020-12-13,2269
2021-01-05,2264
2021-01-07,2276
2021-01-08,2260
2021-01-09,2267
2021-01-10,2251
2021-01-11,2243
2021-01-14,2227
2021-01-19,2220
2021-01-20,2227
2021-01-22,2227
2021-01-24,2228
2021-01-26,2327
2021-01-27,2376
2021-01-28,2389
2021-01-29,2381
2021-01-30,2367
2021-01-31,2362
2021-02-01,2360
2021-02-02,2424
2021-02-03,2421
2021-02-04,2416
2021-02-05,2390
2021-02-06,2440
2021-02-07,2400
2021-02-08,2432
2021-02-09,2440
2021-02-10,2428
2021-02-11,2431
2021-02-12,2457
2021-02-13,2448
2021-02-14,2454
2021-02-15,2451
2021-02-16,2415
2021-02-17,2412
2021-02-18,2417
2021-02-19,2414
2021-02-21,2417
2021-02-22,2415
2021-02-24,2414
2021-02-25,2450
2021-02-26,2464
2021-02-27,2469
2021-03-02,2472
2021-03-03,2468
2021-03-04,2446
2021-03-05,2435
2021-03-08,2427
2021-03-12,2421
2021-03-13,2444
2021-03-14,2442
2021-03-15,2421
2021-03-18,2415
2021-03-20,2397
2021-03-21,2396
2021-03-22,2408
2021-03-23,2421
2021-03-24,2460
2021-03-25,2417
2021-03-26,2400
2021-03-27,2388
2021-03-28,2384
2021-03-29,2377
2021-03-30,2358
2021-03-31,2353
2021-04-01,2359
2021-04-02,2367
2021-04-03,2418
2021-04-04,2412
2021-04-05,2410
2021-04-06,2383
2021-04-07,2430
2021-04-08,2418
2021-04-09,2431
2021-04-10,2502
2021-04-12,2478
2021-04-13,2459
2021-04-15,2466
2021-04-16,2470
2021-04-17,2460
2021-04-18,2453
2021-04-19,2466
2021-04-20,2463
2021-04-21,2463
2021-04-25,2456
2021-05-01,2446
2021-05-02,2442
2021-05-04,2446
2021-05-05,2449
2021-05-06,2458
2021-05-07,2445
2021-05-08,2443
2021-05-09,2459
2021-05-11,2452
2021-05-13,2455
2021-05-14,2460
2021-05-15,2456
2021-05-16,2448
2021-05-20,2421
2021-05-21,2411
2021-05-23,2427
2021-05-25,2324
2021-05-30,2331
2021-06-01,2328
2021-06-02,2329
2021-06-03,2332
2021-06-07,2336
2021-06-08,2337
2021-06-09,2371
2021-06-10,2380
2021-06-19,2376
2021-06-21,2378
2021-06-22,2388
2021-06-23,2420
2021-06-25,2429
2021-06-26,2432
2021-07-01,2440
2021-07-02,2434
2021-07-03,2445
2021-07-05,2441
2021-07-06,2480
2021-07-07,2470
2021-07-21,2459
2021-07-23,2468
2021-07-24,2473
2021-07-25,2462
2021-07-30,2453
2021-07-31,2453
2021-08-03,2452
2021-08-10,2455
2021-08-11,2469
2021-08-12,2458
2021-08-13,2446
2021-08-19,2448
2021-08-27,2457
2021-09-02,2453
2021-09-03,2473
2021-09-04,2449
2021-09-05,2439
2021-09-08,2477
2021-09-09,2465
2021-09-14,2459
2021-11-26,2468
2021-11-28,2449
2021-12-03,2455
2021-12-04,2529
2021-12-06,2519
2021-12-07,2513
2021-12-18,2519
2021-12-24,2514
2021-12-25,2509
2021-12-26,2482
2021-12-27,2488
2021-12-30,2482
2021-12-31,2506
2022-01-01,2501
2022-01-02,2501
2022-01-03,2511
2022-01-04,2508
2022-01-05,2518
2022-01-06,2505
2022-01-07,2600
2022-01-08,2603
2022-01-09,2593
2022-01-10,2578
2022-01-11,2612
2022-01-12,2563
2022-01-13,2533
2022-01-14,2534
2022-01-15,2552
2022-01-16,2551
2022-01-17,2559
2022-01-18,2562
2022-01-19,2554
2022-01-20,2552
2022-01-21,2575
2022-01-22,2554
2022-01-23,2558
2022-01-24,2505
2022-01-26,2506
2022-02-05,2556
2022-02-06,2580
2022-02-07,2581
2022-02-08,2591
2022-02-09,2612
2022-02-10,2590
2022-02-11,2552
2022-02-12,2543
2022-02-13,2526
2022-02-14,2579
2022-02-15,2522
2022-02-16,2534
2022-02-17,2530
2022-02-18,2615
2022-02-19,2609
2022-02-20,2611
2022-02-21,2612
2022-02-22,2608
2022-02-27,2614
2022-04-01,2601
2022-04-17,2590
2022-04-20,2621
2022-04-24,2617
2022-04-25,2613
2022-04-27,2609
2022-05-05,2602
2022-05-19,2595
2022-05-20,2588
2022-05-28,2595
2022-05-31,2621
2022-06-01,2613
2022-06-04,2609
2022-06-11,2607
2022-06-15,2604
2022-06-16,2595
2022-06-19,2585
2022-06-20,2575
2022-06-21,2569
2022-06-22,2563
2022-06-23,2560
2022-06-24,2554
2022-06-25,2548
2022-06-26,2559
2022-06-30,2555
2022-07-01,2550
2022-07-02,2523
2022-07-03,2529
2022-07-04,2546
2022-07-05,2556
2022-07-06,2558
2022-07-09,2544
2022-07-11,2549
2022-07-13,2554
2022-07-14,2563
2022-07-15,2556
2022-07-16,2534
2022-07-17,2537
2022-07-18,2569
2022-07-19,2569
2022-07-20,2564
2022-07-22,2565
2022-07-24,2491
2022-07-28,2502
2022-08-01,2519
2022-08-03,2514
2022-08-04,2505
2022-08-05,2509
2022-08-07,2502
2022-08-10,2495
2022-08-11,2486
2022-08-14,2481
2022-08-15,2482
2022-08-16,2484
2022-08-17,2485
2022-08-18,2516
2022-08-20,2501
2022-08-21,2496
2022-08-23,2489
2022-08-24,2506
2022-08-25,2498
2022-08-26,2490
