Date,Rating
2017-09-07,1304
2017-09-08,1296
2017-09-09,1394
2017-09-10,1400
2017-09-12,1392
2017-09-14,1524
2017-09-15,1521
2017-09-18,1507
2017-09-21,1475
2017-09-22,1441
2017-09-23,1439
2017-10-04,1478
2017-10-06,1466
2017-10-31,1493
2017-11-08,1477
2017-11-12,1473
2017-11-24,1469
2017-11-25,1468
2017-12-08,1480
2017-12-12,1491
2017-12-17,1511
2017-12-28,1544
2018-01-15,1536
2018-02-12,1535
2018-02-13,1553
2018-02-16,1555
2018-02-17,1547
2018-02-19,1554
2018-02-20,1534
2018-02-23,1521
2018-02-26,1532
2018-02-27,1545
2018-02-28,1535
2018-03-01,1529
2018-03-02,1539
2018-03-03,1560
2018-03-04,1549
2018-03-19,1560
2018-03-22,1570
2018-03-27,1595
2018-03-29,1606
2018-04-18,1626
2018-04-19,1636
2018-04-20,1629
2018-04-22,1640
2018-04-28,1642
2018-04-30,1651
2018-05-01,1643
2018-05-08,1653
2018-05-09,1643
2018-05-15,1638
2018-05-23,1637
2018-06-05,1629
2018-06-06,1619
2018-06-07,1601
2018-06-16,1590
2018-06-20,1600
2018-06-22,1611
2018-06-25,1593
2018-06-26,1604
2018-06-27,1614
2018-06-28,1602
2018-07-01,1598
2018-07-02,1584
2018-07-04,1584
2018-07-05,1594
2018-07-07,1580
2018-07-09,1580
2018-07-10,1580
2018-07-12,1580
2018-07-13,1602
2018-07-15,1605
2018-07-16,1597
2018-07-17,1603
2018-07-18,1614
2018-07-19,1619
2018-07-20,1626
2018-07-26,1636
2018-08-17,1647
2018-08-19,1634
2018-09-02,1623
2018-10-07,1634
2018-10-08,1633
2018-10-17,1643
2018-11-03,1633
2018-11-09,1634
2018-11-11,1640
2018-11-12,1628
2018-11-13,1595
2018-11-14,1614
2018-11-17,1604
2018-11-18,1588
2018-11-19,1554
2018-11-20,1523
2018-11-21,1543
2018-11-22,1552
2018-11-25,1580
2018-11-26,1625
2018-11-27,1645
2018-11-28,1663
2018-11-29,1656
2018-11-30,1638
2018-12-01,1648
2018-12-02,1655
2018-12-03,1609
2018-12-04,1665
2018-12-05,1625
2018-12-06,1661
2018-12-07,1650
2018-12-08,1592
2018-12-09,1608
2018-12-10,1608
2018-12-11,1597
2018-12-12,1630
2018-12-16,1643
2018-12-17,1606
2018-12-18,1606
2018-12-19,1608
2018-12-20,1663
2018-12-22,1649
2018-12-23,1620
2018-12-24,1618
2018-12-25,1604
2018-12-26,1609
2018-12-27,1609
2018-12-28,1644
2018-12-30,1654
2018-12-31,1646
2019-01-01,1622
2019-01-02,1633
2019-01-03,1604
2019-01-10,1585
2019-01-22,1585
2019-01-27,1566
2019-02-15,1574
2019-02-16,1630
2019-02-17,1641
2019-02-19,1658
2019-02-20,1693
2019-02-22,1715
2019-03-01,1704
2019-03-09,1697
2019-03-15,1669
2019-05-19,1688
2019-05-20,1701
2019-05-21,1691
